,0
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.462609061775
16,10000.462609061775
17,10000.462609061775
18,10000.462609061775
19,10000.462609061775
20,10000.462609061775
21,10001.544450895195
22,10001.544450895195
23,10001.544450895195
24,10001.544450895195
25,10001.544450895195
26,10001.544450895195
27,10001.544450895195
28,10001.544450895195
29,10001.544450895195
30,10001.544450895195
31,10001.544450895195
32,10001.544450895195
33,10001.544450895195
34,10001.544450895195
35,10001.544450895195
36,10005.333029156218
37,10005.333029156218
38,10005.333029156218
39,10005.333029156218
40,10005.333029156218
41,10005.333029156218
42,10005.333029156218
43,10005.333029156218
44,10005.333029156218
45,10005.333029156218
46,10005.333029156218
47,10005.333029156218
48,10005.333029156218
49,10005.333029156218
50,10005.333029156218
51,10005.333029156218
52,10005.333029156218
53,10005.333029156218
54,10005.333029156218
55,10005.333029156218
56,10005.333029156218
57,10005.333029156218
58,10005.333029156218
59,10005.333029156218
60,10005.333029156218
61,10005.333029156218
62,10002.063153127674
63,10002.063153127674
64,10002.063153127674
65,10002.063153127674
66,10003.230803000504
67,10003.230803000504
68,10003.230803000504
69,10003.230803000504
70,10003.230803000504
71,10004.668420403832
72,10004.668420403832
73,10004.668420403832
74,10004.668420403832
75,10004.668420403832
76,10004.668420403832
77,10004.668420403832
78,10004.668420403832
79,10004.668420403832
80,10004.668420403832
81,10004.668420403832
82,10004.668420403832
83,10004.668420403832
84,10005.902045602284
85,10005.902045602284
86,10005.902045602284
87,10005.902045602284
88,10005.902045602284
89,10005.902045602284
90,10005.902045602284
91,10006.970185686003
92,10006.970185686003
93,10006.970185686003
94,10006.970185686003
95,10006.970185686003
96,10006.970185686003
97,10006.970185686003
98,10006.970185686003
99,10006.970185686003
100,10006.970185686003
101,10006.970185686003
102,10006.970185686003
103,10004.87311064024
104,10004.87311064024
105,10004.87311064024
106,10004.87311064024
107,10003.041576661266
108,10003.041576661266
109,10003.041576661266
110,10003.041576661266
111,10003.041576661266
112,10003.041576661266
113,10003.041576661266
114,10003.041576661266
115,10003.041576661266
116,10003.041576661266
117,10003.041576661266
118,10003.041576661266
119,10003.041576661266
120,10003.041576661266
121,10003.041576661266
122,10003.041576661266
123,10003.041576661266
124,10003.041576661266
125,10003.041576661266
126,10006.31042321682
127,10006.31042321682
128,10006.31042321682
129,10006.31042321682
130,10006.31042321682
131,10006.31042321682
132,10006.31042321682
133,10006.31042321682
134,10006.31042321682
135,10006.31042321682
136,10004.285954796196
137,10004.285954796196
138,10004.285954796196
139,10004.244518761414
140,10004.244518761414
141,10004.244518761414
142,10004.244518761414
143,10004.244518761414
144,10004.244518761414
145,10004.244518761414
146,10004.244518761414
147,10004.244518761414
148,10004.244518761414
149,10004.244518761414
150,10005.731489490543
151,10005.731489490543
152,10005.731489490543
153,10005.731489490543
154,10005.731489490543
155,10005.731489490543
156,10005.731489490543
157,10005.731489490543
158,10005.731489490543
159,10005.731489490543
160,10005.731489490543
161,10005.731489490543
162,10005.731489490543
163,10005.731489490543
164,10008.615485891909
165,10008.615485891909
166,10008.615485891909
167,10008.615485891909
168,10013.869008998865
169,10013.869008998865
170,10013.869008998865
171,10013.869008998865
172,10013.869008998865
173,10013.869008998865
174,10013.869008998865
175,10013.869008998865
176,10013.869008998865
177,10013.869008998865
178,10013.869008998865
179,10013.869008998865
180,10013.869008998865
181,10013.869008998865
182,10013.869008998865
183,10013.869008998865
184,10013.869008998865
185,10013.869008998865
186,10013.869008998865
187,10013.869008998865
188,10016.338323249147
189,10016.338323249147
190,10016.338323249147
191,10016.338323249147
192,10016.338323249147
193,10013.428620930825
194,10013.428620930825
195,10013.428620930825
196,10013.428620930825
197,10013.428620930825
198,10013.428620930825
199,10013.428620930825
200,10013.428620930825
201,10013.428620930825
202,10013.224992023595
203,10013.224992023595
204,10013.224992023595
205,10013.224992023595
206,10013.224992023595
207,10013.224992023595
208,10013.224992023595
209,10013.224992023595
210,10013.224992023595
211,10018.35932217196
212,10018.35932217196
213,10018.35932217196
214,10018.35932217196
215,10018.35932217196
216,10018.35932217196
217,10018.35932217196
218,10018.35932217196
219,10018.35932217196
220,10018.35932217196
