,0
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,10000.0
24,10000.0
25,10000.0
26,10000.0
27,10000.0
28,10000.0
29,10000.0
30,10000.0
31,10000.0
32,10000.0
33,10000.0
34,10000.0
35,10000.0
36,10000.0
37,10000.0
38,10000.0
39,10000.0
40,10000.0
41,10000.0
42,10000.0
43,10000.0
44,10000.0
45,10000.0
46,10000.0
47,10000.0
48,10000.0
49,10000.0
50,10000.0
51,10000.0
52,10000.0
53,10000.0
54,10000.0
55,10000.0
56,10000.0
57,10000.0
58,10000.0
59,10000.0
60,10000.0
61,9998.384930180486
62,9998.384930180486
63,9998.384930180486
64,9998.384930180486
65,9998.384930180486
66,9998.384930180486
67,9998.384930180486
68,9998.384930180486
69,9998.384930180486
70,9998.384930180486
71,9998.384930180486
72,9998.384930180486
73,9998.384930180486
74,9998.384930180486
75,9998.384930180486
76,9998.384930180486
77,9998.384930180486
78,9998.384930180486
79,9998.384930180486
80,9998.384930180486
81,9997.465832770062
82,9997.465832770062
83,9997.465832770062
84,9997.465832770062
85,9997.465832770062
86,9997.465832770062
87,9997.465832770062
88,9997.465832770062
89,9997.465832770062
90,9997.465832770062
91,9996.086864169798
92,9996.086864169798
93,9996.086864169798
94,9996.086864169798
95,9996.086864169798
96,9996.086864169798
97,9996.086864169798
98,9996.086864169798
99,9996.086864169798
100,9996.086864169798
101,9996.086864169798
102,9996.086864169798
103,9996.086864169798
104,9996.086864169798
105,9996.086864169798
106,9996.086864169798
107,9996.086864169798
108,9996.086864169798
109,9996.086864169798
110,9996.086864169798
111,9996.086864169798
112,9996.086864169798
113,9996.086864169798
114,9996.086864169798
115,9996.086864169798
116,9996.086864169798
117,9996.086864169798
118,9996.086864169798
119,9996.086864169798
120,9996.086864169798
121,9996.086864169798
122,9996.086864169798
123,9996.086864169798
124,9996.086864169798
125,9996.086864169798
126,9996.086864169798
127,9996.086864169798
128,9996.086864169798
129,9996.086864169798
130,9996.086864169798
131,9996.086864169798
132,9996.086864169798
133,9996.086864169798
134,9996.086864169798
135,9996.086864169798
136,9996.086864169798
137,9996.086864169798
138,9996.086864169798
139,9996.086864169798
140,9996.086864169798
141,9996.086864169798
142,9996.086864169798
143,9996.086864169798
144,9996.086864169798
145,9996.086864169798
146,9996.086864169798
147,9996.086864169798
148,9996.086864169798
149,9997.186953560271
150,9997.186953560271
151,9997.186953560271
152,9997.186953560271
153,9997.186953560271
154,9997.186953560271
155,9997.186953560271
156,9997.186953560271
157,9997.186953560271
158,9997.186953560271
159,9997.186953560271
160,9997.186953560271
161,9997.186953560271
162,9997.186953560271
163,9997.186953560271
164,9997.186953560271
165,9997.186953560271
166,9997.186953560271
167,9997.186953560271
168,9997.186953560271
169,9997.186953560271
170,9997.186953560271
171,9997.186953560271
172,9997.186953560271
173,9997.186953560271
174,9997.186953560271
175,9997.186953560271
176,9997.186953560271
177,9997.186953560271
178,9997.186953560271
179,9997.186953560271
180,9997.186953560271
181,9997.186953560271
182,9997.186953560271
183,9997.186953560271
184,9997.186953560271
185,9997.186953560271
186,9997.186953560271
187,9997.186953560271
188,9997.186953560271
189,9997.186953560271
190,9997.186953560271
191,9997.186953560271
192,9997.186953560271
193,9997.186953560271
194,9997.186953560271
195,9997.186953560271
196,9997.186953560271
197,9997.186953560271
198,9997.186953560271
199,9997.186953560271
200,9997.186953560271
201,9997.186953560271
202,9997.186953560271
203,9997.186953560271
204,9997.186953560271
205,9997.186953560271
206,9997.186953560271
207,9997.186953560271
208,9997.186953560271
209,9997.186953560271
210,9997.186953560271
211,9997.186953560271
212,9997.186953560271
213,9997.186953560271
214,9997.186953560271
215,9997.186953560271
216,9997.186953560271
217,9997.186953560271
218,9997.186953560271
219,9997.186953560271
220,9997.186953560271
221,9997.186953560271
222,9997.186953560271
223,9997.186953560271
224,9997.186953560271
225,9997.186953560271
226,9997.186953560271
227,9997.186953560271
228,9997.186953560271
229,9997.186953560271
230,9997.186953560271
231,9997.186953560271
232,9997.186953560271
233,9996.969334971596
234,9996.969334971596
