,0
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,9997.16624757727
11,9997.16624757727
12,9997.16624757727
13,9997.16624757727
14,9998.119419443534
15,9998.119419443534
16,9998.119419443534
17,9998.119419443534
18,9998.119419443534
19,9998.119419443534
20,9998.119419443534
21,9998.119419443534
22,9998.119419443534
23,9998.119419443534
24,9998.119419443534
25,9998.119419443534
26,9998.119419443534
27,9996.31368695817
28,9996.31368695817
29,9996.31368695817
30,9996.31368695817
31,9996.31368695817
32,9996.31368695817
33,9996.31368695817
34,9996.31368695817
35,9996.31368695817
36,9996.31368695817
37,9996.31368695817
38,9996.31368695817
39,9996.31368695817
40,9996.31368695817
41,9996.31368695817
42,9996.31368695817
43,10006.865350454898
44,10006.865350454898
45,10006.865350454898
46,10006.865350454898
47,10006.865350454898
48,10006.865350454898
49,10006.865350454898
50,10007.955041553954
51,10007.955041553954
52,10007.955041553954
53,10007.955041553954
54,10007.955041553954
55,10007.955041553954
56,10007.955041553954
57,10007.955041553954
58,10007.955041553954
59,10007.955041553954
60,10007.955041553954
61,10008.148029064198
62,10008.148029064198
63,10008.148029064198
64,10008.148029064198
65,10008.148029064198
66,10008.148029064198
67,10008.148029064198
68,10008.148029064198
69,10008.148029064198
70,10008.148029064198
71,10008.148029064198
72,10008.148029064198
73,10008.148029064198
74,10008.148029064198
75,10008.148029064198
76,10008.148029064198
77,10008.148029064198
78,10008.148029064198
79,10008.148029064198
80,10008.148029064198
81,10008.148029064198
82,10008.148029064198
83,10008.148029064198
84,10008.148029064198
85,10008.148029064198
86,10008.148029064198
87,10008.148029064198
88,10008.148029064198
89,10009.288619827925
90,10009.288619827925
91,10009.288619827925
92,10009.288619827925
93,10009.288619827925
94,10009.288619827925
95,10009.288619827925
96,10009.288619827925
97,10009.288619827925
98,10009.288619827925
99,10009.288619827925
100,10009.288619827925
101,10009.288619827925
102,10009.288619827925
103,10009.288619827925
104,10009.288619827925
105,10009.288619827925
106,10009.288619827925
107,10009.288619827925
108,10009.288619827925
109,10009.288619827925
110,10009.288619827925
111,10009.288619827925
112,10009.288619827925
113,10014.600807800636
114,10014.600807800636
115,10014.600807800636
116,10014.600807800636
117,10014.600807800636
118,10014.600807800636
119,10014.600807800636
120,10020.85329961541
121,10020.85329961541
122,10020.85329961541
123,10020.85329961541
124,10020.85329961541
125,10020.85329961541
126,10020.85329961541
127,10018.137428542828
128,10018.137428542828
129,10018.137428542828
130,10018.137428542828
131,10018.137428542828
132,10018.137428542828
133,10018.137428542828
134,10021.890413599724
135,10021.890413599724
136,10021.890413599724
137,10021.890413599724
138,10021.890413599724
139,10021.890413599724
140,10021.890413599724
141,10021.890413599724
142,10021.890413599724
143,10021.890413599724
144,10021.890413599724
145,10021.890413599724
146,10021.890413599724
147,10021.890413599724
148,10021.890413599724
149,10023.902844922342
150,10023.902844922342
151,10023.902844922342
152,10023.902844922342
153,10023.902844922342
154,10023.902844922342
155,10023.902844922342
156,10023.902844922342
157,10023.902844922342
158,10023.902844922342
159,10023.902844922342
160,10023.902844922342
161,10018.33538814798
162,10018.33538814798
163,10018.33538814798
164,10018.33538814798
165,10018.33538814798
166,10018.33538814798
167,10018.33538814798
168,10018.33538814798
169,10018.33538814798
170,10018.33538814798
171,10018.33538814798
172,10018.33538814798
173,10018.33538814798
174,10018.33538814798
175,10018.33538814798
176,10018.33538814798
177,10018.33538814798
178,10018.33538814798
179,10018.33538814798
180,10018.33538814798
181,10018.33538814798
182,10018.33538814798
183,10018.33538814798
184,10018.33538814798
185,10018.33538814798
186,10018.33538814798
187,10018.33538814798
188,10018.33538814798
189,10018.33538814798
190,10018.33538814798
191,10018.33538814798
192,10018.33538814798
193,10018.33538814798
194,10018.33538814798
195,10018.33538814798
196,10018.33538814798
197,10018.33538814798
198,10018.33538814798
199,10018.33538814798
200,10018.33538814798
201,10018.33538814798
202,10018.33538814798
203,10018.33538814798
204,10018.33538814798
205,10018.33538814798
206,10018.33538814798
207,10018.33538814798
208,10018.33538814798
209,10018.33538814798
210,10018.33538814798
211,10018.33538814798
212,10018.33538814798
213,10018.33538814798
214,10018.33538814798
215,10018.33538814798
216,10018.33538814798
217,10018.33538814798
218,10018.33538814798
